index,datetime,service,instance,message,level,anomaly_type,st_time,ed_time,duration,data_type
0,2021-07-04,mobservice,mobservice1,"2021-07-04 00:37:11,553 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 48ccc1781d26a064 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 00:37:11.553000,2021-07-04 00:37:22.553000,11,train
1,2021-07-04,mobservice,mobservice2,"2021-07-04 00:48:32,796 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 00:38:14.418677 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 00:38:14.418677,2021-07-04 00:48:14.418677,600,train
2,2021-07-04,logservice,logservice1,"2021-07-04 00:59:41,249 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 00:49:40.287601 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 00:49:40.287601,2021-07-04 00:59:40.287601,600,train
3,2021-07-04,webservice,webservice2,"2021-07-04 01:10:00,821 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | trigger the file moving program, start with 2021-07-04 01:00:00.639653, last for 600 seconds",WARNING,[file moving program],2021-07-04 01:00:00.639653,2021-07-04 01:10:00.639653,600,train
4,2021-07-04,dbservice,dbservice2,"2021-07-04 01:44:18,107 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 01:34:17.188897 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 01:34:17.188897,2021-07-04 01:44:17.188897,600,train
5,2021-07-04,webservice,webservice2,"2021-07-04 03:00:20,165 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 02:50:19.083599 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 02:50:19.083599,2021-07-04 03:00:19.083599,600,train
6,2021-07-04,mobservice,mobservice1,"2021-07-04 03:58:12,121 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 5af0e160cfca6357 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 03:58:12.121000,2021-07-04 03:58:23.121000,11,train
7,2021-07-04,webservice,webservice1,"2021-07-04 04:10:00,703 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | trigger the file moving program, start with 2021-07-04 04:00:00.578620, last for 600 seconds",WARNING,[file moving program],2021-07-04 04:00:00.578620,2021-07-04 04:10:00.578620,600,train
8,2021-07-04,mobservice,mobservice1,"2021-07-04 04:18:04,047 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | fd2df0b274574b6d | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 04:18:04.047000,2021-07-04 04:18:15.047000,11,train
9,2021-07-04,webservice,webservice1,"2021-07-04 04:32:59,482 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 04:22:58.510618 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 04:22:58.510618,2021-07-04 04:32:58.510618,600,train
10,2021-07-04,mobservice,mobservice1,"2021-07-04 05:11:23,776 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 62711a488c746902 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 05:11:23.776000,2021-07-04 05:11:34.776000,11,train
11,2021-07-04,mobservice,mobservice2,"2021-07-04 05:40:03,252 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 759aad3f72fa1ef9 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 05:40:03.252000,2021-07-04 05:40:14.252000,11,train
12,2021-07-04,mobservice,mobservice1,"2021-07-04 05:58:09,537 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | fd36805ff36d3ba7 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 05:58:09.537000,2021-07-04 05:58:20.537000,11,train
13,2021-07-04,mobservice,mobservice1,"2021-07-04 06:06:40,093 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | c22f9bf461874af1 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 06:06:40.093000,2021-07-04 06:06:51.093000,11,train
14,2021-07-04,mobservice,mobservice1,"2021-07-04 06:19:58,153 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | aa38388699978cbd | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 06:19:58.153000,2021-07-04 06:20:09.153000,11,train
15,2021-07-04,webservice,webservice1,"2021-07-04 06:41:56,726 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 06:31:55.682525 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 06:31:55.682525,2021-07-04 06:41:55.682525,600,train
16,2021-07-04,dbservice,dbservice1,"2021-07-04 07:33:33,003 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 07:23:31.902981 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 07:23:31.902981,2021-07-04 07:33:31.902981,600,train
17,2021-07-04,webservice,webservice2,"2021-07-04 08:10:00,568 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | trigger the file moving program, start with 2021-07-04 08:00:00.471022, last for 600 seconds",WARNING,[file moving program],2021-07-04 08:00:00.471022,2021-07-04 08:10:00.471022,600,train
18,2021-07-04,mobservice,mobservice2,"2021-07-04 09:01:29,741 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | c2a55750efff7870 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 09:01:29.741000,2021-07-04 09:01:40.741000,11,train
19,2021-07-04,mobservice,mobservice1,"2021-07-04 09:20:15,909 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 6c4f44bf3b168d3d | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 09:20:15.909000,2021-07-04 09:20:26.909000,11,train
20,2021-07-04,logservice,logservice2,"2021-07-04 10:57:21,367 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 10:47:20.480887 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 10:47:20.480887,2021-07-04 10:57:20.480887,600,train
