datetime,service_extracted,start_time,log_message,message
2021-07-05,0.0.0.2,"2021-07-05 04:24:49,294","[memory_anomalies] trigger a high memory program, start at 2021-07-05 04:14:48.405145 and lasts 600 seconds and use 1g memory
","2021-07-05 04:24:49,294 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-05 04:14:48.405145 and lasts 600 seconds and use 1g memory
"
2021-07-05,0.0.0.2,"2021-07-05 05:38:35,241","[memory_anomalies] trigger a high memory program, start at 2021-07-05 05:28:34.389611 and lasts 600 seconds and use 1g memory
","2021-07-05 05:38:35,241 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-05 05:28:34.389611 and lasts 600 seconds and use 1g memory
"
2021-07-05,0.0.0.1,"2021-07-05 17:37:38,498","[memory_anomalies] trigger a high memory program, start at 2021-07-05 17:27:36.802528 and lasts 600 seconds and use 1g memory
","2021-07-05 17:37:38,498 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-05 17:27:36.802528 and lasts 600 seconds and use 1g memory
"
2021-07-05,0.0.0.1,"2021-07-05 22:09:15,582","[memory_anomalies] trigger a high memory program, start at 2021-07-05 21:59:13.898511 and lasts 600 seconds and use 1g memory
","2021-07-05 22:09:15,582 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-05 21:59:13.898511 and lasts 600 seconds and use 1g memory
"
2021-07-05,0.0.0.3,"2021-07-05 08:25:27,738","[normal memory freed label] lasts ten minutes
","2021-07-05 08:25:27,738 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [normal memory freed label] lasts ten minutes
"
2021-07-05,0.0.0.3,"2021-07-05 16:10:00,749","trigger the file moving program, start with 2021-07-05 16:00:00.625877, last for 600 seconds
","2021-07-05 16:10:00,749 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | trigger the file moving program, start with 2021-07-05 16:00:00.625877, last for 600 seconds
"
2021-07-05,0.0.0.4,"2021-07-05 00:13:38,108","wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired
","2021-07-05 00:13:38,108 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | f639f26c28be3470 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired
"
2021-07-05,0.0.0.4,"2021-07-05 00:21:16,285","wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired
","2021-07-05 00:21:16,285 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 80842428c81d05c3 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired
"
2021-07-05,0.0.0.4,"2021-07-05 00:23:51,097","wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired
","2021-07-05 00:23:51,097 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | aa140a361d66e372 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired
"
2021-07-05,0.0.0.4,"2021-07-05 00:25:50,610","wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired
","2021-07-05 00:25:50,610 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 46624703b73da55f | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired
"
